[ 2025-03-30 11:49:57,757 ] 15 root - INFO - Initiate the data ingestion
[ 2025-03-30 11:49:59,994 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-30 11:49:59,994 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-30 11:49:59,995 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-30 11:50:00,047 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-30 11:50:00,047 ] 17 root - INFO - Data Initiation Completed
[ 2025-03-30 11:50:00,054 ] 21 root - INFO - Initiate the data validation
[ 2025-03-30 11:50:00,119 ] 32 root - INFO - Required number of columns:2
[ 2025-03-30 11:50:00,121 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-30 11:50:00,121 ] 32 root - INFO - Required number of columns:2
[ 2025-03-30 11:50:00,121 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-30 11:50:00,233 ] 23 root - INFO - data validation completed
[ 2025-03-30 11:50:00,234 ] 26 root - INFO - data Transformation started
[ 2025-03-30 11:50:00,234 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-30 11:50:00,234 ] 65 root - INFO - Starting data transformation
[ 2025-03-30 11:50:00,255 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-30 11:50:00,255 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-30 11:50:00,269 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-30 11:50:00,272 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-30 11:50:00,272 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-30 11:50:00,275 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-30 11:50:00,276 ] 30 root - INFO - data Transformation completed
